ts,usd_per_btc,price_equalized,residual_log10,sigma_roll,k_equalizer
2020-05-21,9522.74,6466.8309849018815,-0.08403520820604493,0.08864883448833857,3.0
2020-05-22,9080.33,5590.720802960607,-0.10531691382721409,0.08842742259464592,3.0
2020-05-23,9185.06,5769.874652813979,-0.10095780957566802,0.08829724345206004,3.0
2020-05-24,9212.28,5804.696940275838,-0.10029378955904633,0.08816087675259546,3.0
2020-05-25,8786.11,5021.415344218101,-0.1214852454422819,0.0880279505597472,3.0
2020-05-26,8909.59,5221.169202560323,-0.11604497578805306,0.08783007139005179,3.0
2020-05-27,8837.38,5080.703730964584,-0.12019982944399121,0.08752315637799232,3.0
2020-05-28,9184.95,5687.7780526269025,-0.10406707769373646,0.0870460608642273,3.0
2020-05-29,9528.36,6331.782547582447,-0.08874608290288011,0.08662491496547477,3.0
2020-05-30,9438.91,6137.572297168448,-0.09346261210235829,0.08610011819208865,3.0
2020-05-31,9700.11,6642.337323493732,-0.08222786612850053,0.08568976509000549,3.0
2020-06-01,9463.61,6150.65849402646,-0.09356761017449466,0.08522010058589297,3.0
2020-06-02,10162.97,7595.7996360105335,-0.06322357165354653,0.08491028715098363,3.0
2020-06-03,9533.76,6252.662257105617,-0.0915996222017883,0.0844938427577784,3.0
2020-06-04,9655.85,6477.462550604977,-0.0866927998724667,0.08414473954842545,3.0
2020-06-05,9800.22,6753.084824146855,-0.0808668101052592,0.08361703119727786,3.0
2020-06-06,9664.9,6458.749957957491,-0.08752444656916225,0.0830045493792102,3.0
2020-06-07,9653.0,6416.6040332794,-0.08867853312747398,0.08234932616520334,3.0
2020-06-08,9760.06,6613.601524819161,-0.08450723137589522,0.08166982818224118,3.0
2020-06-09,9774.36,6623.813426844686,-0.0844901196739678,0.08084145200703301,3.0
2020-06-10,9794.12,6645.11032639261,-0.0842316125121676,0.08015975018089765,3.0
2020-06-11,9870.08,6781.583003098547,-0.08149479555424133,0.07928205008584101,3.0
2020-06-12,9320.69,5694.776457770309,-0.10698569143635872,0.07821809705752135,3.0
2020-06-13,9480.74,5976.169700513148,-0.1002096576717455,0.07723081455346432,3.0
2020-06-14,9477.55,5953.172706740042,-0.10097380114129217,0.07615985812544838,3.0
2020-06-15,9386.04,5765.961585483108,-0.10580532801265274,0.07533005982116191,3.0
2020-06-16,9454.27,5875.883200587013,-0.10327742327612599,0.07447012312282293,3.0
2020-06-17,9533.78,6008.269903998281,-0.10025784607441679,0.07376367288270415,3.0
2020-06-18,9481.57,5893.3199872328905,-0.10326011661566925,0.07275079695387923,3.0
2020-06-19,9410.29,5745.04946512255,-0.1071546175473741,0.07204085670917725,3.0
2020-06-20,9290.96,5513.562609931388,-0.11331413985377159,0.07131597405504232,3.0
2020-06-21,9330.93,5569.182094985568,-0.11206675659398257,0.07054117023270376,3.0
2020-06-22,9300.92,5499.975181658055,-0.11408258956286632,0.06976745224880353,3.0
2020-06-23,9644.08,6114.093692371076,-0.09896435736477205,0.06887707338639681,3.0
