rel_day,dd_pct_2021,dd_pct_2025,dd_pct_2021_scaled,dd_pct_2025_scaled
-218,-13.010932834224498,-19.70358324846928,-7.511865574247654,-19.70358324846928
-217,-12.402418188792163,-21.857068825128334,-7.160539479901466,-21.857068825128334
-216,-13.861224907930792,-19.993058804664663,-8.002781931891787,-19.993058804664663
-215,-16.950208387213383,-20.107204970896152,-9.786207375177899,-20.107204970896152
-214,-13.653896173974346,-20.172122381992498,-7.883080631531289,-20.172122381992498
-213,-13.761639017654105,-20.146675838236362,-7.945285991333054,-20.146675838236362
-212,-11.404190660717662,-18.444291922885135,-6.584212547855158,-18.444291922885135
-211,-10.916076200452618,-15.089225957029129,-6.3023995328257865,-15.089225957029129
-210,-11.339364346830106,-15.494351492466818,-6.546785058081606,-15.494351492466818
-209,-5.960023822449023,-12.031205302748816,-3.4410213582675255,-12.031205302748816
-208,-6.624053123528395,-11.789294169311438,-3.8243988539954996,-11.789294169311438
-207,-6.352697486725701,-14.600528970450755,-3.667731604041342,-14.600528970450755
-206,-8.911671445614955,-13.782023824791246,-5.145155908055295,-13.782023824791246
-205,-10.137479454025943,-10.33187125535775,-5.852876491686178,-10.33187125535775
-204,-16.814486157087526,-12.425981563252487,-9.707848109079718,-12.425981563252487
-203,-17.569189395723704,-12.165771222054211,-10.143576227064598,-12.165771222054211
-202,-16.400657708032284,-11.440595415330346,-9.468924142619349,-11.440595415330346
-201,-20.270428912151083,-11.534220447835509,-11.7031375890196,-11.534220447835509
-200,-23.404860389523396,-13.251701632008839,-13.512802446236941,-13.251701632008839
-199,-24.288031943280885,-13.745839380266823,-14.022701780539448,-13.745839380266823
-198,-25.902250090414856,-14.403031011158795,-14.954671062318026,-14.403031011158795
-197,-27.34569035287039,-12.382328744000171,-15.78804168640587,-12.382328744000171
-196,-20.014040026510827,-11.513648623782991,-11.55511139687797,-11.513648623782991
-195,-18.52426353147525,-13.486144390718325,-10.694988536436803,-13.486144390718325
-194,-18.788587311895988,-14.957228347584927,-10.847595942215936,-14.957228347584927
-193,-20.697447643388056,-17.47521961161409,-11.949676968448278,-17.47521961161409
