series,date,rel_day,price,log_norm,rel_plot,log_plot
left,2021-07-18,-113.0,31753.02,-0.7542887848851091,52.0,-0.20742941584340502
left,2021-07-19,-112.0,30849.9,-0.783143114955548,53.0,-0.21536435661277573
left,2021-07-20,-111.0,29788.61,-0.8181505181270282,54.0,-0.22499139248493277
left,2021-07-21,-110.0,32086.04,-0.7438555792328692,55.0,-0.20456028428903902
left,2021-07-22,-109.0,32327.95,-0.7363444426824983,56.0,-0.20249472173768707
left,2021-07-23,-108.0,33700.0,-0.6947787864522893,57.0,-0.19106416627437958
left,2021-07-24,-107.0,34275.43,-0.6778478528537598,58.0,-0.18640815953478396
left,2021-07-25,-106.0,35368.57,-0.6464530511532398,59.0,-0.17777458906714097
left,2021-07-26,-105.0,37269.12,-0.5941115220819607,60.0,-0.16338066857253922
left,2021-07-27,-104.0,39381.82,-0.5389723353140897,61.0,-0.1482173922113747
left,2021-07-28,-103.0,40031.56,-0.5226084807935429,62.0,-0.14371733221822433
left,2021-07-29,-102.0,40024.94,-0.522773863992036,63.0,-0.1437628125978099
left,2021-07-30,-101.0,42188.95,-0.47011828539813405,64.0,-0.12928252848448687
left,2021-07-31,-100.0,41472.42,-0.4872479958172619,65.0,-0.13399319884974703
left,2021-08-01,-99.0,39816.76,-0.5279886946326241,66.0,-0.14519689102397165
left,2021-08-02,-98.0,39146.69,-0.5449607515636408,67.0,-0.14986420668000122
left,2021-08-03,-97.0,38207.27,-0.5692508121693881,68.0,-0.15654397334658174
left,2021-08-04,-96.0,39730.0,-0.5301700539840977,69.0,-0.14579676484562687
left,2021-08-05,-95.0,40893.75,-0.5012993841746936,70.0,-0.13785733064804073
left,2021-08-06,-94.0,42827.76,-0.45509013334087417,71.0,-0.1251497866687404
left,2021-08-07,-93.0,44488.87,-0.41703757828127375,72.0,-0.11468533402735029
left,2021-08-08,-92.0,43933.26,-0.4296049596074523,73.0,-0.11814136389204939
left,2021-08-09,-91.0,46208.5,-0.3791128599616679,74.0,-0.10425603648945868
left,2021-08-10,-90.0,45565.76,-0.3931200665327253,75.0,-0.10810801829649946
left,2021-08-11,-89.0,45482.95,-0.39493909335548605,76.0,-0.10860825067275867
left,2021-08-12,-88.0,44454.37,-0.4178133539721583,77.0,-0.11489867234234354
left,2021-08-13,-87.0,47765.41,-0.34597488643448604,78.0,-0.09514309376948367
left,2021-08-14,-86.0,47134.61,-0.3592690731030127,79.0,-0.0987989951033285
left,2021-08-15,-85.0,47090.0,-0.36021595955514213,80.0,-0.09905938887766409
left,2021-08-16,-84.0,45930.71,-0.3851426672862636,81.0,-0.1059142335037225
left,2021-08-17,-83.0,44718.51,-0.41188911394459293,82.0,-0.11326950633476307
left,2021-08-18,-82.0,44735.2,-0.41151596004871405,83.0,-0.11316688901339637
left,2021-08-19,-81.0,46736.74,-0.36774604467194694,84.0,-0.10113016228478541
left,2021-08-20,-80.0,49350.99,-0.3133187973420562,85.0,-0.08616266926906546
left,2021-08-21,-79.0,48896.95,-0.3225616014631439,86.0,-0.08870444040236458
left,2021-08-22,-78.0,49328.47,-0.31377522465511515,87.0,-0.08628818678015668
left,2021-08-23,-77.0,49464.66,-0.31101814860599464,88.0,-0.08552999086664853
left,2021-08-24,-76.0,47770.4,-0.3458704229876479,89.0,-0.09511436632160318
left,2021-08-25,-75.0,48985.05,-0.32076147429389185,90.0,-0.08820940543082026
left,2021-08-26,-74.0,46770.6,-0.3670218234187286,91.0,-0.10093100144015037
left,2021-08-27,-73.0,49082.04,-0.31878344003951053,92.0,-0.0876654460108654
left,2021-08-28,-72.0,48963.41,-0.32120333933908163,93.0,-0.08833091831824745
left,2021-08-29,-71.0,48770.78,-0.32514526077794853,94.0,-0.08941494671393585
left,2021-08-30,-70.0,46924.16,-0.36374394240395636,95.0,-0.10002958416108801
left,2021-08-31,-69.0,47065.73,-0.36073148846745606,96.0,-0.09920115932855042
left,2021-09-01,-68.0,48889.19,-0.3227203151625757,97.0,-0.08874808666970833
left,2021-09-02,-67.0,49273.33,-0.3148936627718209,98.0,-0.08659575726225076
left,2021-09-03,-66.0,49919.31,-0.301868721960344,99.0,-0.0830138985390946
left,2021-09-04,-65.0,49949.07,-0.30127273750799,100.0,-0.08285000281469726
left,2021-09-05,-64.0,51782.76,-0.26521934847436596,101.0,-0.07293532083045065
left,2021-09-06,-63.0,52691.2,-0.24782816512869021,102.0,-0.06815274541038982
left,2021-09-07,-62.0,46943.82,-0.36332505621321354,103.0,-0.09991439045863373
left,2021-09-08,-61.0,46022.48,-0.38314665104216683,104.0,-0.10536532903659589
left,2021-09-09,-60.0,46414.58,-0.3746629897985297,105.0,-0.10303232219459567
left,2021-09-10,-59.0,44897.75,-0.40788894167658735,106.0,-0.11216945896106154
left,2021-09-11,-58.0,45127.48,-0.402785250218967,107.0,-0.11076594381021593
left,2021-09-12,-57.0,46010.13,-0.3834150341744964,108.0,-0.10543913439798652
left,2021-09-13,-56.0,44969.02,-0.4063028155714269,109.0,-0.1117332742821424
left,2021-09-14,-55.0,47096.48,-0.3600783601882217,110.0,-0.09902154905176097
left,2021-09-15,-54.0,48106.71,-0.33885495538875393,111.0,-0.09318511273190734
left,2021-09-16,-53.0,47772.7,-0.3458222771770046,112.0,-0.09510112622367627
left,2021-09-17,-52.0,47337.8,-0.35496749313248066,113.0,-0.09761606061143219
left,2021-09-18,-51.0,48300.04,-0.33484423499507127,114.0,-0.0920821646236446
left,2021-09-19,-50.0,47270.75,-0.35638491283134976,115.0,-0.0980058510286212
left,2021-09-20,-49.0,42991.14,-0.4512825758591696,116.0,-0.12410270836127164
left,2021-09-21,-48.0,40656.13,-0.5071269996778935,117.0,-0.13945992491142073
left,2021-09-22,-47.0,43544.09,-0.4385026358059572,118.0,-0.12058822484663824
left,2021-09-23,-46.0,44892.71,-0.4080012030461202,119.0,-0.11220033083768306
left,2021-09-24,-45.0,42816.65,-0.4553495781794182,120.0,-0.12522113399934
left,2021-09-25,-44.0,42682.26,-0.45849324657653423,121.0,-0.12608564280854692
left,2021-09-26,-43.0,43142.04,-0.44777869606777154,122.0,-0.12313914141863719
left,2021-09-27,-42.0,42214.52,-0.4695123861197688,123.0,-0.12911590618293645
left,2021-09-28,-41.0,41006.19,-0.49855359289221185,124.0,-0.13710223804535826
left,2021-09-29,-40.0,41522.49,-0.4860414156529006,125.0,-0.13366138930454768
left,2021-09-30,-39.0,43834.03,-0.43186616745107503,126.0,-0.11876319604904564
left,2021-10-01,-38.0,48145.34,-0.3380522711430862,127.0,-0.09296437456434872
left,2021-10-02,-37.0,47692.85,-0.34749513232991186,128.0,-0.09556116139072576
left,2021-10-03,-36.0,48179.83,-0.33733615506514014,129.0,-0.09276744264291355
left,2021-10-04,-35.0,49248.68,-0.31539405858214514,130.0,-0.08673336611008992
left,2021-10-05,-34.0,51441.74,-0.2718267186368362,131.0,-0.07475234762512997
