rel_day,dd_pct_2017,dd_pct_2021,dd_pct_2017_scaled,dd_pct_2021_scaled
-222,-90.80664070677888,-12.765661683621833,-52.42723845626441,-12.765661683621833
-221,-90.68181342377424,-12.510560737992583,-52.355169390819476,-12.510560737992583
-220,-90.33957208055939,-12.068619667317682,-52.15757625918656,-12.068619667317682
-219,-90.98145124146882,-14.722323834603035,-52.52816536552483,-14.722323834603035
-218,-90.57457187120545,-13.010932834224498,-52.293253451575566,-13.010932834224498
-217,-90.53489930075787,-12.402418188792163,-52.27034848234822,-12.402418188792163
-216,-90.88420633923711,-13.861224907930792,-52.47202099504403,-13.861224907930792
-215,-90.96255704894695,-16.950208387213383,-52.51725679838621,-16.950208387213383
-214,-90.48120001674832,-13.653896173974346,-52.23934518627001,-13.653896173974346
-213,-90.06945316752501,-13.761639017654105,-52.00162303203295,-13.761639017654105
-212,-89.61478876188083,-11.404190660717662,-51.73912241504335,-11.404190660717662
-211,-89.18147845748021,-10.916076200452618,-51.48895059415501,-10.916076200452618
-210,-89.30625340200142,-11.339364346830106,-51.56098944196245,-11.339364346830106
-209,-88.5297073232006,-5.960023822449023,-51.11265035432864,-5.960023822449023
-208,-87.85030146966461,-6.624053123528395,-50.72039520190064,-6.624053123528395
-207,-87.19675082694805,-6.352697486725701,-50.34306756239918,-6.352697486725701
-206,-87.85281371686973,-8.911671445614955,-50.72184564850078,-8.911671445614955
-205,-88.50505589750031,-10.137479454025943,-51.09841784706468,-10.137479454025943
-204,-89.24925679353515,-16.814486157087526,-51.528082434721554,-16.814486157087526
-203,-88.69787087049366,-17.569189395723704,-51.20973962362618,-17.569189395723704
-202,-88.19578779885275,-16.400657708032284,-50.919861827058746,-16.400657708032284
-201,-88.55257924046393,-20.270428912151083,-51.12585546191751,-20.270428912151083
-200,-88.02322781895072,-23.404860389523396,-50.82023427621095,-23.404860389523396
-199,-87.41767156554872,-24.288031943280885,-50.470616210299845,-24.288031943280885
-198,-86.94824770757444,-25.902250090414856,-50.19959421953436,-25.902250090414856
-197,-86.66525352761379,-27.34569035287039,-50.03620745355498,-27.34569035287039
-196,-86.85047942050831,-20.014040026510827,-50.14314767267852,-20.014040026510827
-195,-85.9165515220031,-18.52426353147525,-49.60394414907284,-18.52426353147525
-194,-84.98210023866348,-18.788587311895988,-49.064438449092115,-18.788587311895988
-193,-85.7613679186032,-20.697447643388056,-49.514348853876086,-20.697447643388056
-192,-85.3062848050915,-14.559747315052174,-49.251606495786454,-14.559747315052174
-191,-85.19794414437047,-14.395127856173517,-49.18905598615498,-14.395127856173517
-190,-84.59987229410041,-16.179872221546997,-48.84375904240683,-16.179872221546997
-189,-84.54329439350165,-15.300653311271562,-48.811093776265956,-15.300653311271562
-188,-85.96852363605912,-21.165991337049007,-49.633950263113434,-21.165991337049007
-187,-85.78026211112507,-14.964412144948614,-49.525257421014715,-14.964412144948614
-186,-86.91757735627851,-16.48530645496289,-50.181886683957515,-16.48530645496289
-185,-87.07464514508227,-15.095485947908305,-50.272569814104386,-15.095485947908305
-184,-86.84205292467445,-12.838452500106213,-50.13828263304052,-12.838452500106213
-183,-86.10230079973202,-13.765946954932307,-49.71118654457141,-13.765946954932307
-182,-86.65876355566722,-17.324258735009003,-50.032460466504595,-17.324258735009003
-181,-86.43773814009965,-16.040330583112617,-49.90485138332892,-16.040330583112617
-180,-85.81925428128795,-26.372126135811346,-49.54776956095454,-26.372126135811346
