u,a_2021,b_2021,a_2025,b_2025
0.21042084168336672,0.7394465614008745,0.98,-0.1712248516175292,0.15111154162669627
0.2124248496993988,0.8060341427507042,0.98,-0.06963776726403731,0.2866353139704733
0.21442885771543085,0.8612661896988146,0.98,0.001999985225211716,0.38753510075157843
0.21643286573146292,0.9288178682889444,0.98,0.02260418133604184,0.42619919357247726
0.21843687374749496,1.0482590805435903,0.98,-0.01968516663736493,0.3872838255696003
0.22044088176352702,1.1349655127288072,0.98,-0.07267699531536559,0.3350310808051431
0.2224448897795591,1.175222985438394,0.98,-0.1175581773991925,0.2952390470784044
0.22444889779559116,1.205397029664101,0.98,-0.18902794562657935,0.22648943127656992
0.22645290581162322,1.2408594127959853,0.98,-0.2845989818801962,0.1272550109898102
0.2284569138276553,1.2772682863829103,0.98,-0.3851388148783224,0.021072048679960025
0.23046092184368736,1.312673309678567,0.98,-0.4849537938844012,-0.08382949474894837
0.23246492985971942,1.3395338820631804,0.98,-0.5643098276000645,-0.1633175587320397
0.2344689378757515,1.3634275404587914,0.98,-0.630394051576535,-0.2271662187269109
0.23647294589178355,1.3845573139037315,0.98,-0.6743829949183837,-0.2663581670590081
0.23847695390781562,1.3791958647512153,0.98,-0.6786398384498213,-0.2577657254326238
0.24048096192384769,1.3167703216536266,0.98,-0.6285836313635668,-0.18297659846709988
0.24248496993987975,1.28271658666574,0.98,-0.5814365924284484,-0.11245517243278651
0.2444889779559118,1.2837346917784282,0.98,-0.5557112897020946,-0.07088896595971202
0.24649298597194386,1.2803609390630628,0.98,-0.5478910898966544,-0.05605838610351074
0.24849699398797592,1.26922754709374,0.98,-0.5263127278047901,-0.021476255325800723
0.250501002004008,1.2583999507798922,0.98,-0.5060204279155213,0.012046847936761968
0.25250501002004005,1.2475247292298564,0.98,-0.48954173223605063,0.040152481983926853
0.2545090180360721,1.2397350755506324,0.98,-0.47528621134887766,0.06515255751656687
0.2565130260521042,1.2318945486496802,0.98,-0.4668533724425826,0.08402852483051858
0.25851703406813625,1.2239930313008143,0.98,-0.458079865647926,0.10666733071278864
0.2605210420841683,1.2128670549212264,0.98,-0.44883164468509346,0.1321816648004202
