date,value,ma30
2009-11-12,66.0,67.43333333333334
2009-11-13,83.0,67.9
2009-11-14,79.0,68.16666666666667
2009-11-15,96.0,69.33333333333333
2009-11-16,97.0,70.66666666666667
2009-11-17,92.0,71.23333333333333
2009-11-18,79.0,70.13333333333334
2009-11-19,72.0,69.33333333333333
2009-11-20,86.0,69.5
2009-11-21,73.0,68.9
2009-11-22,106.0,69.46666666666667
2009-11-23,96.0,70.56666666666666
2009-11-24,93.0,71.13333333333334
2009-11-25,90.0,71.76666666666667
2009-11-26,84.0,72.4
2009-11-27,74.0,72.63333333333334
2009-11-28,71.0,73.43333333333334
2009-11-29,60.0,73.43333333333334
2009-11-30,75.0,74.4
2009-12-01,74.0,76.03333333333333
2009-12-02,94.0,78.06666666666666
2009-12-03,88.0,78.93333333333334
2009-12-04,36.0,78.0
2009-12-05,65.0,78.23333333333333
2009-12-06,105.0,79.7
2009-12-07,112.0,81.13333333333334
2009-12-08,107.0,82.26666666666667
2009-12-09,109.0,83.76666666666667
2009-12-10,104.0,84.63333333333334
2009-12-11,112.0,85.93333333333334
2009-12-12,112.0,87.46666666666667
2009-12-13,114.0,88.5
2009-12-14,107.0,89.43333333333334
2009-12-15,112.0,89.96666666666667
2009-12-16,137.0,91.3
2009-12-17,172.0,93.96666666666667
2009-12-18,225.0,98.83333333333333
2009-12-19,199.0,103.06666666666666
2009-12-20,175.0,106.03333333333333
2009-12-21,176.0,109.46666666666667
2009-12-22,162.0,111.33333333333333
2009-12-23,154.0,113.26666666666667
2009-12-24,154.0,115.3
2009-12-25,150.0,117.3
2009-12-26,174.0,120.3
2009-12-27,168.0,123.43333333333334
2009-12-28,137.0,125.63333333333334
2009-12-29,171.0,129.33333333333334
2009-12-30,141.0,131.53333333333333
2009-12-31,138.0,133.66666666666666
2010-01-01,133.0,134.96666666666667
2010-01-02,127.0,136.26666666666668
2010-01-03,186.0,141.26666666666668
2010-01-04,183.0,145.2
2010-01-05,198.0,148.3
2010-01-06,163.0,150.0
2010-01-07,154.0,151.56666666666666
2010-01-08,153.0,153.03333333333333
2010-01-09,151.0,154.6
2010-01-10,190.0,157.2
2010-01-11,159.0,158.76666666666668
2010-01-12,161.0,160.33333333333334
2010-01-13,166.0,162.3
2010-01-14,145.0,163.4
2010-01-15,142.0,163.56666666666666
2010-01-16,126.0,162.03333333333333
2010-01-17,131.0,158.9
2010-01-18,126.0,156.46666666666667
2010-01-19,124.0,154.76666666666668
2010-01-20,158.0,154.16666666666666
2010-01-21,184.0,154.9
2010-01-22,136.0,154.3
2010-01-23,162.0,154.56666666666666
2010-01-24,155.0,154.73333333333332
2010-01-25,215.0,156.1
2010-01-26,201.0,157.2
2010-01-27,166.0,158.16666666666666
2010-01-28,179.0,158.43333333333334
2010-01-29,201.0,160.43333333333334
2010-01-30,214.0,162.96666666666667
2010-01-31,167.0,164.1
2010-02-01,193.0,166.3
2010-02-02,146.0,164.96666666666667
2010-02-03,272.0,167.93333333333334
2010-02-04,234.0,169.13333333333333
2010-02-05,227.0,171.26666666666668
2010-02-06,206.0,173.0
2010-02-07,222.0,175.3
2010-02-08,208.0,177.2
2010-02-09,210.0,177.86666666666667
2010-02-10,173.0,178.33333333333334
2010-02-11,174.0,178.76666666666668
2010-02-12,188.0,179.5
2010-02-13,235.0,182.5
2010-02-14,219.0,185.06666666666666
2010-02-15,185.0,187.03333333333333
2010-02-16,201.0,189.36666666666667
2010-02-17,250.0,193.5
2010-02-18,215.0,196.53333333333333
2010-02-19,195.0,197.76666666666668
2010-02-20,210.0,198.63333333333333
2010-02-21,227.0,201.66666666666666
2010-02-22,265.0,205.1
2010-02-23,251.0,208.3
2010-02-24,177.0,207.03333333333333
2010-02-25,158.0,205.6
2010-02-26,176.0,205.93333333333334
2010-02-27,175.0,205.8
2010-02-28,159.0,204.4
2010-03-01,199.0,203.9
2010-03-02,193.0,204.76666666666668
2010-03-03,158.0,203.6
2010-03-04,188.0,205.0
2010-03-05,173.0,201.7
2010-03-06,183.0,200.0
2010-03-07,183.0,198.53333333333333
2010-03-08,130.0,196.0
2010-03-09,148.0,193.53333333333333
2010-03-10,169.0,192.23333333333332
2010-03-11,136.0,189.76666666666668
2010-03-12,123.0,188.1
2010-03-13,154.0,187.43333333333334
2010-03-14,127.0,185.4
2010-03-15,140.0,182.23333333333332
2010-03-16,129.0,179.23333333333332
2010-03-17,139.0,177.7
2010-03-18,149.0,175.96666666666667
2010-03-19,162.0,173.03333333333333
2010-03-20,204.0,172.66666666666666
2010-03-21,190.0,172.5
2010-03-22,186.0,171.7
2010-03-23,220.0,171.46666666666667
2010-03-24,182.0,168.7
2010-03-25,202.0,167.06666666666666
2010-03-26,213.0,168.26666666666668
2010-03-27,184.0,169.13333333333333
2010-03-28,192.0,169.66666666666666
2010-03-29,207.0,170.73333333333332
2010-03-30,221.0,172.8
2010-03-31,214.0,173.3
2010-04-01,179.0,172.83333333333334
2010-04-02,161.0,172.93333333333334
2010-04-03,166.0,172.2
2010-04-04,183.0,172.53333333333333
2010-04-05,181.0,172.46666666666667
2010-04-06,174.0,172.16666666666666
2010-04-07,204.0,174.63333333333333
2010-04-08,195.0,176.2
2010-04-09,224.0,178.03333333333333
2010-04-10,298.0,183.43333333333334
2010-04-11,265.0,188.16666666666666
2010-04-12,247.0,191.26666666666668
2010-04-13,209.0,194.0
2010-04-14,223.0,196.76666666666668
2010-04-15,290.0,202.13333333333333
2010-04-16,234.0,205.3
2010-04-17,250.0,208.66666666666666
2010-04-18,3351.0,314.96666666666664
2010-04-19,276.0,317.3666666666667
2010-04-20,243.0,319.1333333333333
2010-04-21,251.0,321.3
2010-04-22,199.0,320.6
2010-04-23,200.0,321.2
2010-04-24,202.0,321.2
2010-04-25,205.0,320.93333333333334
2010-04-26,211.0,321.8333333333333
2010-04-27,233.0,323.2
2010-04-28,227.0,323.8666666666667
2010-04-29,180.0,322.5
2010-04-30,170.0,321.03333333333336
2010-05-01,210.0,322.06666666666666
2010-05-02,180.0,322.7
2010-05-03,188.0,323.43333333333334
2010-05-04,177.0,323.23333333333335
2010-05-05,162.0,322.6
2010-05-06,177.0,322.7
2010-05-07,158.0,321.1666666666667
2010-05-08,182.0,320.73333333333335
2010-05-09,183.0,319.3666666666667
2010-05-10,157.0,314.6666666666667
2010-05-11,131.0,310.2
2010-05-12,158.0,307.23333333333335
2010-05-13,167.0,305.8333333333333
2010-05-14,153.0,303.5
2010-05-15,113.0,297.6
2010-05-16,134.0,294.26666666666665
2010-05-17,177.0,291.8333333333333
2010-05-18,223.0,187.56666666666666
2010-05-19,207.0,185.26666666666668
2010-05-20,237.0,185.06666666666666
2010-05-21,235.0,184.53333333333333
2010-05-22,226.0,185.43333333333334
2010-05-23,309.0,189.06666666666666
2010-05-24,250.0,190.66666666666666
2010-05-25,254.0,192.3
2010-05-26,287.0,194.83333333333334
2010-05-27,267.0,195.96666666666667
