date,value,ma30
2010-02-09,211.0,177.63333333333333
2010-02-10,171.0,178.03333333333333
2010-02-11,172.0,178.36666666666667
2010-02-12,189.0,179.06666666666666
2010-02-13,235.0,182.03333333333333
2010-02-14,215.0,184.46666666666667
2010-02-15,187.0,186.5
2010-02-16,202.0,188.86666666666667
2010-02-17,248.0,192.9
2010-02-18,214.0,195.9
2010-02-19,197.0,197.2
2010-02-20,210.0,198.1
2010-02-21,227.0,201.13333333333333
2010-02-22,266.0,204.56666666666666
2010-02-23,251.0,207.76666666666668
2010-02-24,176.0,206.46666666666667
2010-02-25,158.0,205.03333333333333
2010-02-26,177.0,205.43333333333334
2010-02-27,175.0,205.33333333333334
2010-02-28,159.0,204.0
2010-03-01,199.0,203.5
2010-03-02,193.0,204.36666666666667
2010-03-03,157.0,203.16666666666666
2010-03-04,188.0,204.56666666666666
2010-03-05,173.0,201.3
2010-03-06,182.0,199.56666666666666
2010-03-07,183.0,198.06666666666666
2010-03-08,132.0,195.96666666666667
2010-03-09,148.0,193.43333333333334
2010-03-10,170.0,192.16666666666666
2010-03-11,136.0,189.66666666666666
2010-03-12,123.0,188.06666666666666
2010-03-13,154.0,187.46666666666667
2010-03-14,127.0,185.4
2010-03-15,143.0,182.33333333333334
2010-03-16,129.0,179.46666666666667
2010-03-17,139.0,177.86666666666667
2010-03-18,148.0,176.06666666666666
2010-03-19,162.0,173.2
2010-03-20,207.0,172.96666666666667
2010-03-21,187.0,172.63333333333333
2010-03-22,185.0,171.8
2010-03-23,215.0,171.4
2010-03-24,180.0,168.53333333333333
2010-03-25,201.0,166.86666666666667
2010-03-26,204.0,167.8
2010-03-27,183.0,168.63333333333333
2010-03-28,190.0,169.06666666666666
2010-03-29,201.0,169.93333333333334
2010-03-30,218.0,171.9
2010-03-31,213.0,172.36666666666667
2010-04-01,173.0,171.7
2010-04-02,159.0,171.76666666666668
2010-04-03,168.0,171.1
2010-04-04,178.0,171.26666666666668
2010-04-05,181.0,171.23333333333332
2010-04-06,174.0,170.93333333333334
2010-04-07,202.0,173.26666666666668
2010-04-08,196.0,174.86666666666667
2010-04-09,234.0,177.0
2010-04-10,295.0,182.3
2010-04-11,261.0,186.9
2010-04-12,237.0,189.66666666666666
2010-04-13,204.0,192.23333333333332
2010-04-14,221.0,194.83333333333334
2010-04-15,290.0,200.2
2010-04-16,229.0,203.2
2010-04-17,241.0,206.3
2010-04-18,3359.0,312.8666666666667
2010-04-19,268.0,314.9
2010-04-20,232.0,316.4
2010-04-21,243.0,318.3333333333333
2010-04-22,191.0,317.53333333333336
2010-04-23,201.0,318.23333333333335
2010-04-24,195.0,318.03333333333336
2010-04-25,189.0,317.53333333333336
2010-04-26,207.0,318.3333333333333
2010-04-27,222.0,319.4
2010-04-28,218.0,319.96666666666664
2010-04-29,174.0,318.5
2010-04-30,170.0,317.06666666666666
2010-05-01,203.0,318.06666666666666
2010-05-02,170.0,318.43333333333334
2010-05-03,178.0,318.76666666666665
2010-05-04,161.0,318.2
2010-05-05,158.0,317.43333333333334
2010-05-06,169.0,317.26666666666665
2010-05-07,147.0,315.43333333333334
2010-05-09,178.0,314.8333333333333
2010-05-10,148.0,311.96666666666664
2010-05-11,126.0,306.3333333333333
2010-05-12,144.0,302.43333333333334
2010-05-13,155.0,299.7
2010-05-14,149.0,297.8666666666667
2010-05-15,106.0,294.03333333333336
2010-05-16,127.0,288.6
2010-05-17,163.0,286.4
2010-05-18,208.0,285.3
2010-05-19,204.0,180.13333333333333
2010-05-20,226.0,178.73333333333332
2010-05-21,215.0,178.16666666666666
2010-05-22,223.0,177.5
2010-05-23,306.0,181.33333333333334
2010-05-24,239.0,182.6
2010-05-25,247.0,184.33333333333334
2010-05-26,279.0,187.33333333333334
2010-05-27,244.0,188.56666666666666
2010-05-28,278.0,190.43333333333334
2010-05-29,233.0,190.93333333333334
2010-05-30,195.0,191.63333333333333
2010-05-31,190.0,192.3
2010-06-01,178.0,191.46666666666667
2010-06-02,189.0,192.1
2010-06-03,219.0,193.46666666666667
2010-06-04,172.0,193.83333333333334
2010-06-05,181.0,194.6
2010-06-06,191.0,195.33333333333334
2010-06-07,200.0,197.1
2010-06-08,220.0,198.5
2010-06-09,223.0,201.0
2010-06-10,218.0,204.06666666666666
2010-06-11,251.0,207.63333333333333
2010-06-12,203.0,209.23333333333332
2010-06-13,233.0,212.03333333333333
2010-06-14,255.0,217.0
2010-06-15,279.0,222.06666666666666
2010-06-16,195.0,223.13333333333333
2010-06-17,204.0,223.0
2010-06-18,190.0,222.53333333333333
2010-06-19,216.0,222.2
2010-06-20,232.0,222.76666666666668
2010-06-21,264.0,224.13333333333333
2010-06-22,236.0,221.8
2010-06-23,264.0,222.63333333333333
2010-06-24,239.0,222.36666666666667
2010-06-25,206.0,219.93333333333334
2010-06-26,199.0,218.43333333333334
2010-06-27,220.0,216.5
2010-06-28,206.0,215.6
