post_day,dd_2025,dd_2017_scaled,dd_2021_scaled
177,-45.37050125605264,-21.660735371975214,-23.807428973197048
178,-45.39720906230905,-22.23072660013913,-26.505638978200803
179,-46.311785054035795,-22.64238033466649,-26.936295201963333
180,-46.35065609718531,-22.072117690186076,-27.4217786999984
181,-46.05186702479127,-22.49157464381273,-28.581250263143072
182,-44.452373310506744,-22.333695165210266,-31.92769807232452
183,-44.74902960701841,-22.396680714157398,-31.256275626039074
184,-42.373325740865006,-21.95247398517015,-32.91025311341714
185,-43.05971074908621,-21.906010904489783,-32.968313067408126
186,-42.43210536490152,-21.872609734040843,-32.68398263725079
187,-41.54489465169565,-21.935527428908856,-32.0680459740694
188,-41.470544160126884,-23.053745689357577,-31.002347778948163
189,-43.344123629160315,-22.852778870511173,-32.20312580516199
190,-40.262150227762014,-22.90078563149162,-31.74441881558852
191,-40.35763604724788,-22.73790191455373,-33.136788703528666
192,-40.085819373606924,-23.029691418308012,-31.85747708510697
193,-39.7653417344391,-22.931014623741493,-32.8158982051269
194,-39.27456274285882,-23.406858317120445,-32.56921395518289
195,-40.80894264909527,-22.811947678398127,-31.889735465789546
196,-40.50562343243978,-22.505196350196933,-32.85221881561441
197,-39.18007916767859,-22.562346448339376,-32.41608071963089
198,-38.71555095895135,-22.11741028800155,-32.516849674981565
199,-37.12611977749535,-22.302601033451545,-32.79639095000045
200,-37.23457864727327,-22.15866556810912,-33.26881544822048
201,-37.868862987510674,-22.25115067795555,-32.95602375324035
202,-37.740174818667946,-22.137410277823435,-32.55675359976017
203,-36.803765936987375,-21.877393446619113,-30.63222305531056
204,-38.01923170517275,-21.964433266615806,-30.535815651960977
205,-38.7733042848189,-22.028826787704766,-32.26770243096637
206,-39.228395361164345,-22.640039368936705,-31.71197228952551
207,-38.709088487668666,-22.493576339146898,-32.34851087186499
208,-37.23131533981413,-22.731557558155608,-32.22249622728447
209,-36.89464143266734,-22.788317495343087,-32.1695076465026
210,-37.06201623170734,-22.733423545331526,-30.94579298800069
211,-35.91554496152143,-22.56365263936252,-31.160552387709263
212,-35.031910255998056,-21.9189031795234,-31.91179123561467
213,-34.672505447999605,-20.92450164995675,-32.01836704157072
214,-35.81851969478214,-20.815969050397428,-32.88112478770006
215,-35.73587863831721,-20.66156709335008,-33.463032793210196
216,-35.338709264882674,-20.891507603982557,-34.95801888205442
217,-34.169563219526225,-20.766757879512525,-38.63570518556179
218,-34.4658506901334,-20.78406066968922,-38.81566624195186
219,-35.52380374324618,-20.23734339066494,-38.45519679715589
220,-36.360188643225,-19.108573820912387,-40.343021888294366
221,-36.544000248877296,-19.495935795113247,-40.27067143745275
222,-36.637313202708555,-19.877886406503947,-41.495335374919605
223,-37.31276172106674,-19.450032510585658,-40.185954703878636
224,-38.04600365506471,-19.37422254068403,-40.173939055718776
225,-38.30012470324549,-19.39552872152906,-40.05353456430045
226,-38.422727244664436,-19.474120708674786,-40.63327034587279
227,-37.86517472846596,-20.225163583462127,-39.671744827075614
228,-37.900092920074066,-20.43428985532323,-39.5992489911673
229,-39.4817306498095,-20.553153238429225,-39.36967741878052
230,-38.56002669658112,-20.756444059485634,-39.754126847519736
231,-38.19906640542033,-21.450387726689872,-40.016230466597
232,-38.103933375930055,-21.407961963717405,-40.41595387940278
233,-39.19621930997644,-21.56404330922308,-40.55014429596966
234,-40.328218172389064,-21.93686754697156,-40.769804027632404
235,-40.647012041123446,-22.67600203087259,-41.25494544315757
236,-40.74939330143202,-22.2282499262511,-41.30606967426054
237,-40.8609230477624,-22.907537112364487,-41.244024459029355
238,-40.91701665705981,-22.755628792724952,-40.45482300458897
239,,-22.619157276086202,-40.4845756308866
240,,-22.724907858401426,-40.15472257072574
241,,-22.82441586543722,-39.21349109682776
242,,-22.698885819057256,-39.27750328649081
243,,-22.619343874803793,-39.28534552803003
244,,-22.162024345025777,-39.94079272110364
245,,-22.482380416091388,-40.67972515071576
246,,-22.32480628084498,-41.22722820779378
247,,-22.716307353872423,-40.45419870400842
248,,-22.347944521826363,-40.13190566731611
249,,-22.544551716089032,-39.91390503582633
250,,-22.262329637491277,-39.608690468440244
251,,-21.98324581005302,-39.9791316183995
252,,-21.90412795379408,-38.60513156124042
253,,-21.950845487271167,-37.713861237911786
254,,-21.60831809585169,-37.862504640521486
255,,-21.33841153261499,-37.94476693208714
256,,-21.40645221045689,-38.31641392289375
257,,-21.487707470208242,-38.52954843068035
258,,-21.433407243389016,-38.41387322996125
259,,-21.13473055060362,-39.563338879691656
260,,-20.95844565303868,-39.538546449787425
261,,-21.022940955246334,-38.07662263552402
262,,-20.84818277446169,-37.316446882047764
263,,-21.988199157829094,-37.36615147073469
264,,-22.31552723552473,-37.515119851728784
265,,-22.485145469815706,-37.812021814124556
266,,-22.836307292803752,-37.851318542448105
267,,-22.756561786312915,-38.06081842356713
268,,-22.646315871255702,-38.218809230759554
269,,-22.675951140313245,-38.40340550515863
270,,-22.60221071982491,-37.82142908314652
271,,-22.330811366847477,-38.09935401830617
272,,-22.34429736507343,-37.90500839237525
273,,-22.275357620683142,-37.35982294430173
274,,-22.310438179590406,-37.946485896699336
275,,-22.729946023776407,-37.22482863383662
276,,-22.585756105637266,-37.24746594392857
277,,-22.498835030279032,-36.86945621843801
278,,-22.31873334076335,-36.82773070429425
279,,-21.882957481107304,-36.95205204045081
280,,-21.955340820013152,-37.131166442628896
281,,-21.972881099466782,-37.32826583276444
282,,-22.16779194175134,-37.75921282666038
283,,-22.414102248972558,-37.91485181659732
284,,-22.382261722343486,-39.903941882725796
285,,-22.00168515605505,-39.646174159461374
286,,-22.103466274741507,-39.33623885343882
287,,-22.16964096540748,-39.4303457519094
288,,-22.1289285179329,-39.323000260306095
289,,-22.183500161068615,-39.46895831521317
290,,-22.30965785768048,-39.33239897726531
291,,-22.3646705523305,-40.43405004417593
292,,-22.226553574272987,-40.61513997284865
293,,-22.147690170810765,-40.98766782611822
294,,-22.218105741422015,-40.38197653410803
295,,-22.188300837166665,-40.77141181542888
296,,-22.123720717360104,-40.60911076861184
297,,-22.155255900633126,-40.53468216652266
298,,-22.265383071051872,-40.67633853386786
299,,-22.892812777194514,-40.76764035575735
300,,-22.83629032928397,-40.62530837545511
301,,-22.822736476978893,-40.795323382870144
302,,-22.843957840225016,-41.676818698478684
303,,-22.408114126489842,-41.24132200720123
304,,-22.379802011975222,-41.212433139241064
305,,-22.40255009200165,-39.47162655879031
306,,-22.48523028741461,-39.21092547800358
307,,-22.505535620592557,-39.07606800054243
308,,-22.452931745751442,-38.567630766093785
309,,-22.449742604032597,-40.49057062687241
310,,-22.463703580812428,-40.44563808919844
311,,-22.48492494405855,-40.89537396495006
312,,-22.44957296883479,-40.81548059476538
313,,-22.48417854918818,-40.530688353219695
314,,-22.468419439311564,-41.12260227214409
315,,-22.461209943404604,-41.01309310866575
316,,-22.470539879284203,-41.597951575823686
317,,-22.70399183851136,-41.92351150048544
318,,-22.701226784787046,-41.142015454580324
319,,-22.639225119987216,-41.225757253001255
320,,-22.571676384218975,-41.53394793822338
321,,-22.56183754274595,-41.66688975362915
322,,-22.59210046203539,-41.29384877659474
323,,-22.437189599394603,-41.42370329734876
324,,-22.469895265532518,-41.137508517512536
325,,-22.394407602506735,-40.9639101958064
326,,-22.301752857462496,-41.13051293018529
327,,-22.466095437101558,-41.2220542098317
328,,-22.58713015073953,-41.42428483761558
329,,-22.56587486045384,-40.93805731012151
330,,-22.548605997316706,-40.33639403966525
331,,-22.599038541625845,-40.50062785266316
332,,-22.715289542685557,-40.6632367737391
333,,-23.824500174130527,-41.037791465879764
334,,-23.86850354444264,-41.1357125843356
335,,-23.982634105529716,-41.11236545303566
336,,-23.996323665993046,-41.39659325844003
337,,-23.901616335055298,-41.426508373929856
338,,-25.303651244961195,-41.35156664807583
339,,-25.95550841958859,-41.15896564294535
340,,-25.62322699411688,-41.32563679382621
341,,-26.09778145999247,-41.42247180031316
342,,-26.066500729516164,-41.254526392082944
343,,-26.929621579497073,-41.00209515597281
344,,-26.655321464637083,-41.19981029462614
345,,-27.00370127038103,-41.38162714863236
346,,-26.929604615977297,-41.44610970174652
347,,-26.16619533526955,-41.3385247523863
348,,-26.127230130332414,-41.30598415363307
349,,-26.588637868377674,-41.004198963408626
350,,-26.307026476492034,-41.201794373183496
351,,-26.372878860282174,-40.53363026280475
352,,-26.83041891581734,-39.980465740188066
353,,-26.714439331074132,-40.38531183857945
354,,-27.066347548932544,-40.12290034524327
355,,-27.50931594097577,-39.92006252100434
356,,-27.59964668381,-40.08788820035609
357,,-27.56404025578952,-40.226568449865255
358,,-27.34320915527948,-40.22083856782461
359,,-27.548518635189836,-40.50385198031888
360,,-27.651639871938997,-40.455310472165564
361,,-27.51443892394966,-39.64060676661293
362,,-27.794744124812148,-39.5150966937345
363,,-27.91228435337522,-39.85066253181053
364,,-27.93384498701697,-40.135933688870054
365,,-27.913488763279677,-41.86103013005414
366,,-27.401495809247255,-44.17947723670415
367,,-27.11150443858977,-42.706358772304625
368,,-27.08650021043246,-43.19896613860812
369,,-26.420122262872468,-43.38660694734522
370,,-26.82093630825972,-43.8031864758258
371,,-26.581072138555314,-43.558708658070586
372,,-26.641343524337476,-43.30843254177274
373,,-26.490249453647436,-43.48687988305655
374,,-26.921122856086757,-43.472444001139216
375,,-26.8704358589809,-43.47611283605778
376,,-27.243616330644784,-43.48067108550206
377,,-26.737815061332448,-43.828329540302676
378,,-27.00711093785703,-44.26061065598717
379,,-26.838001609159484,-43.87528036478499
380,,-27.070639319437152,-43.54077498248963
381,,-26.842921029895997,-43.55630552843861
382,,-26.73318402043222,-43.61686268475178
383,,-26.908281471612483,-43.664839756763776
384,,-26.852844688967927,-43.68503972897274
385,,-26.889536782254396,-43.885910578779814
386,,-26.47839195332046,-43.6740417762798
387,,-26.537730345514664,-43.04277126459262
388,,-26.558341022048673,-43.213154010705786
389,,-26.540936450753293,-43.11162392177061
390,,-27.18215749847795,-43.29599784253826
391,,-27.16592341004746,-43.10898988644447
392,,-27.19354002025105,-43.22150082394709
393,,-27.371945357788622,-43.11959444425103
394,,-27.11757737867139,-43.32988966720555
395,,-27.259104024204905,-43.00133652058227
396,,-27.209994634438694,-43.08619008716033
397,,-27.157509504236046,-43.084462570485385
398,,-27.213149849117972,-43.12175811612608
399,,-27.086262721155524,-43.01725190935486
400,,-27.33471043186916,-42.54344197696979
401,,-27.34222527113218,-42.498851521805705
402,,-27.26543141708325,-42.89035640231139
403,,-27.306177791597392,-43.51522997106364
404,,-27.279104014026792,-43.37964556826898
405,,-27.290639207477923,-43.40638786847957
406,,-27.300986954544378,-43.66425821649696
407,,-27.343480571595975,-43.28801021593234
408,,-27.51493086602331,-43.34957651564969
409,,-27.570113195871148,-43.35113299106969
410,,-27.502038590989688,-43.387427945368955
411,,-27.54622856001939,-43.33881802071367
412,,-27.502123408588595,-43.34090472402399
413,,-27.44965524190573,-43.24713135600056
414,,-27.5406645255312,-43.45874359661814
415,,-27.54950251933714,-43.590753237184465
416,,-27.517560211589373,-43.516273322718796
417,,-27.62110553633306,-43.53310378220536
418,,-27.635287038870036,-43.59761199150776
419,,-27.189163432147527,-43.52562072730153
420,,-27.186211779705623,-43.486580560860396
421,,-27.14361638153534,-43.47841334093679
422,,-27.242819045215075,-43.32445910736105
423,,-27.246720654764722,-43.34619845086453
424,,-27.26602514027558,-43.23876743863376
425,,-27.291775763303256,-43.2432658236388
426,,-27.28314133173469,-43.08163183771605
427,,-27.25637289752015,-43.04159963199625
428,,-27.18392170453518,-42.81616725797912
429,,-26.773540233991397,-42.390727792492406
430,,-26.73789987893136,-41.60263810620916
431,,-26.651419855087433,-40.708545602173956
432,,-26.721445264743714,-39.800624412676456
433,,-26.64627990859377,-39.885802957638916
434,,-26.361326703311256,-39.61583144083419
