date,rel_day,price,log_norm,series,rel_plot,log_plot
2018-02-18,63.0,10380.04,-0.6243047582266158,left_projected,53.120000000000005,-0.3192694533570913
2018-02-19,64.0,11140.0,-0.5536472550223427,left_projected,54.36,-0.283135206218426
2018-02-20,65.0,11235.57,-0.5451048508587134,left_projected,55.599999999999994,-0.27876662072914604
2018-02-21,66.0,10454.27,-0.6171789821297983,left_projected,56.84,-0.3156253314611788
2018-02-22,67.0,9830.0,-0.6787505553624055,left_projected,58.08,-0.3471130340123341
2018-02-23,68.0,10144.99,-0.6472095019514335,left_projected,59.31999999999999,-0.330982939297963
2018-02-24,69.0,9688.62,-0.6932374886214461,left_projected,60.56,-0.3545216516810075
2018-02-25,70.0,9597.99,-0.7026357879696955,left_projected,61.8,-0.35932794196770224
2018-02-26,71.0,10300.0,-0.6320455942858907,left_projected,63.040000000000006,-0.32322811691780445
2018-02-27,72.0,10566.57,-0.6064942456131853,left_projected,64.28,-0.31016115720658294
2018-02-28,73.0,10307.27,-0.6313400180206592,left_projected,65.52,-0.3228672852157651
2018-03-01,74.0,10895.92,-0.5758010822851838,left_projected,66.76,-0.294464673480643
2018-03-02,75.0,11000.0,-0.5662942167231102,left_projected,68.0,-0.2896028624321985
2018-03-03,76.0,11432.5,-0.5277293129714076,left_projected,69.24,-0.2698807706535778
2018-03-04,77.0,11469.9,-0.5244632768140219,left_projected,70.48,-0.2682105197626908
2018-03-05,78.0,11377.54,-0.5325482529081681,left_projected,71.72,-0.27234517653723717
2018-03-06,79.0,10700.0,-0.5939457480536203,left_projected,72.96,-0.3037438555546214
2018-03-07,80.0,9920.0,-0.6696365682246993,left_projected,74.2,-0.3424521409901112
2018-03-08,81.0,9304.9,-0.7336483463952784,left_projected,75.44,-0.3751877643465454
2018-03-09,82.0,9255.0,-0.7390255434960199,left_projected,76.67999999999999,-0.37793766294386455
2018-03-10,83.0,8795.44,-0.7899560841580975,left_projected,77.92,-0.403983541438451
2018-03-11,84.0,9533.88,-0.7093377193504683,left_projected,79.16,-0.3627553096758295
2018-03-12,85.0,9120.0,-0.7537196854352407,left_projected,80.4,-0.38545224713158205
2018-03-13,86.0,9145.41,-0.7509373754414227,left_projected,81.64,-0.38402937380074353
2018-03-14,87.0,8207.03,-0.8591983854644788,left_projected,82.88,-0.43939405432653444
2018-03-15,88.0,8259.99,-0.8527661126430799,left_projected,84.12,-0.43610459000567103
2018-03-16,89.0,8275.0,-0.8509505682583542,left_projected,85.36,-0.43517612060732236
2018-03-17,90.0,7865.02,-0.9017644101028388,left_projected,86.6,-0.46116231932659174
2018-03-18,91.0,8192.0,-0.8610314212243287,left_projected,87.84,-0.44033146881412166
2018-03-19,92.0,8589.0,-0.813707174737393,left_projected,89.08,-0.4161298491607027
2018-03-20,93.0,8900.0,-0.7781382127833866,left_projected,90.32,-0.39793988201742386
2018-03-21,94.0,8891.81,-0.779058861169187,left_projected,91.56,-0.3984107016019222
2018-03-22,95.0,8715.09,-0.7991334835804446,left_projected,92.8,-0.40867686350303933
2018-03-23,96.0,8927.1,-0.7750978954154503,left_projected,94.03999999999999,-0.3963850637154612
2018-03-24,97.0,8531.34,-0.8204430477413431,left_projected,95.28,-0.41957457461492287
2018-03-25,98.0,8453.0,-0.8296680815746901,left_projected,96.52,-0.4242922569172965
2018-03-26,99.0,8145.0,-0.8667852474674722,left_projected,97.76,-0.44327397555486525
2018-03-27,100.0,7793.61,-0.9108853223480774,left_projected,99.0,-0.46582675384880673
2018-03-28,101.0,7942.72,-0.8919337036563699,left_projected,100.24,-0.45613489604986757
2018-03-29,102.0,7079.99,-1.0069169942462284,left_projected,101.48,-0.5149373508575211
2018-03-30,103.0,6848.01,-1.040231390402732,left_projected,102.72,-0.5319743330519572
2018-03-31,104.0,6928.5,-1.028546149964848,left_projected,103.96000000000001,-0.5259985010920233
2018-04-01,105.0,6816.01,-1.044915232859392,left_projected,105.19999999999999,-0.534369650084293
2018-04-02,106.0,7045.01,-1.0118699247254288,left_projected,106.44,-0.5174702795045842
2018-04-03,107.0,7424.9,-0.95935027293688,left_projected,107.68,-0.4906117295799204
2018-04-04,108.0,6791.68,-1.048491155874407,left_projected,108.91999999999999,-0.5361983771141717
2018-04-05,109.0,6785.85,-1.0493499277361957,left_projected,110.16,-0.5366375530442905
2018-04-06,110.0,6619.01,-1.0742436775836002,left_projected,111.4,-0.5493682167162531
2018-04-07,111.0,6894.01,-1.0335365708911606,left_projected,112.63999999999999,-0.5285506023537395
2018-04-08,112.0,7020.01,-1.0154248469833511,left_projected,113.88,-0.5192882667472857
2018-04-09,113.0,6771.13,-1.0515215036748846,left_projected,115.12,-0.537748096979336
2018-04-10,114.0,6824.99,-1.043598613652996,left_projected,116.35999999999999,-0.5336963310221421
2018-04-11,115.0,6942.99,-1.026456972050964,left_projected,117.6,-0.524930095506863
2018-04-12,116.0,7916.0,-0.8953034617811615,left_projected,118.84,-0.45785819035488595
2018-04-13,117.0,7893.19,-0.898189127122442,left_projected,120.08000000000001,-0.4593339196104168
2018-04-14,118.0,8003.11,-0.8843592733853483,left_projected,121.32,-0.4522613324092671
2018-04-15,119.0,8355.25,-0.8412994057195098,left_projected,122.56,-0.4302405160849573
2018-04-16,120.0,8048.93,-0.8786503261802141,left_projected,123.80000000000001,-0.44934177680856147
2018-04-17,121.0,7892.1,-0.8983272303820884,left_projected,125.03999999999999,-0.45940454561739996
2018-04-18,122.0,8152.05,-0.8659200601556861,left_projected,126.28,-0.44283151876361787
2018-04-19,123.0,8274.0,-0.8510714214822609,left_projected,127.52000000000001,-0.4352379249460282
2018-04-20,124.0,8866.27,-0.7819353002447645,left_projected,128.76,-0.3998817125451726
2018-04-21,125.0,8915.42,-0.7764071277064474,left_projected,130.0,-0.39705460510907714
2018-04-22,126.0,8795.01,-0.790004974322941,left_projected,131.24,-0.404008543868752
2018-04-23,127.0,8931.3,-0.7746275285206071,left_projected,132.48,-0.39614451808543844
2018-04-24,128.0,9650.0,-0.6972315741705861,left_projected,133.72,-0.35656422703083773
2018-04-25,129.0,8865.98,-0.7819680090098707,left_projected,134.96,-0.3998984398076479
2018-04-26,130.0,9272.11,-0.7371785198788204,left_projected,136.2,-0.37699309506602874
2018-04-27,131.0,8922.55,-0.7756077093444126,left_projected,137.44,-0.39664578255873256
2018-04-28,132.0,9329.99,-0.7309555464741638,left_projected,138.68,-0.3738106664668874
2018-04-29,133.0,9389.01,-0.7246496331694845,left_projected,139.92,-0.37058582240287435
2018-04-30,134.0,9243.82,-0.7402342693889343,left_projected,141.16,-0.378555805365501
2018-05-01,135.0,9072.29,-0.7589647765567019,left_projected,142.4,-0.38813458673109735
