rel_day,dd_pct_ahr_2025,dd_pct_ahr_2021,dd_pct_ahr_2017,dd_pct_ahr_2021_timewarp_scaled,dd_pct_ahr_2017_timewarp_scaled
-188,4.264241501975584,21.929812825480234,-89.2177269156687,5.473331443988836,-10.132522666552852
-187,3.3150887418861203,21.399879997919545,-89.65427216731754,5.341068664029321,-10.129019055388815
-186,3.411363409225822,21.265466181994864,-90.21260121715332,5.307521119822638,-10.12732459376616
-185,3.1323150671990083,19.362752845126572,-90.3932710313156,4.832634224140706,-10.1159267406186
-184,3.134634337266211,20.359664114847536,-90.48756406809794,5.081447373749113,-10.08331295487984
-183,3.174139031633461,15.113641713225636,-90.3621667122204,3.7721238699340187,-10.057021570054918
-182,2.7872675693713638,10.529450210783107,-90.18945364422767,2.627982800638975,-10.027854814874539
-181,1.9958325718894316,5.523544050751866,-90.03118695988266,1.3785884802496307,-9.992766771782753
-180,1.6418085714944932,-1.8402576865682256,-90.16049125985296,-0.45929896169624285,-9.948711523223615
-179,0.9564752533243404,-8.881446948713206,-90.1924748623736,-2.2166674763420455,-9.909976846923016
-178,1.1530302012029046,-15.718440077744734,-90.37648010616165,-3.9230718936193467,-9.874155671483178
-177,0.4142214021943115,-23.206589724974076,-90.61322362845159,-5.791994590207695,-9.834684996946498
-176,-0.22562383337922773,-29.231879757220053,-90.81392873580094,-7.295810863291742,-9.785001823355367
-175,-0.5421105826613053,-33.75512744824956,-91.05704790380169,-8.42474132946956,-9.74283062200582
-174,-2.1064018760864833,-39.50881406636769,-91.3742005790335,-9.86076972316444,-9.687871796384929
-173,-4.346950102805772,-43.65651502044495,-91.6029088234254,-10.89596971474104,-9.62280196264211
-172,-8.075359087771876,-48.58268712586818,-91.75678436823182,-12.125463687064684,-9.550297736926781
-171,-12.13197148101817,-50.78085781452451,-91.74361652128825,-12.674092024443746,-9.494209443836185
-170,-15.591602402565318,-52.87192961241518,-91.7629297850194,-13.195990187192093,-9.423257248480356
-169,-18.737085989826465,-52.24668009829535,-91.79120666429557,-13.03993788281517,-9.347839974273462
-168,-19.587655804035666,-53.32779707223756,-91.79178384993205,-13.309767432898362,-9.278356444629683
-167,-21.245673168632607,-54.156499771841666,-91.82836397678646,-13.516598406767482,-9.248054155259133
-166,-21.84803674189997,-55.374535012539035,-91.76739012472127,-13.820600572032175,-9.22777409610121
-165,-20.38804756691406,-55.29187090697149,-91.80433746321118,-13.799968929988866,-9.220780483705845
-164,-19.2684628686527,-56.07584497201043,-92.01484214095505,-13.995636350207963,-9.230337534622967
-163,-18.899513882379843,-56.90404018780897,-92.30402518546464,-14.202340664214892,-9.271208270204733
-162,-19.101592598331194,-57.758017451107655,-92.53870012923544,-14.415479765987499,-9.298991339774169
-161,-22.827101287485345,-57.76170662373948,-92.80466456964179,-14.416400524624555,-9.324417981973383
-160,-24.83483126522189,-57.59815356880835,-93.08804531609074,-14.375580291208113,-9.358219435444484
-159,-26.116499931296914,-57.5130277708109,-93.58127121312182,-14.354334250004664,-9.369557860580572
-158,-28.065010489369882,-57.66586337738336,-94.06624970737458,-14.39247957928181,-9.367461892314184
-157,-30.45278690093495,-59.02086984607435,-94.22352896981313,-14.730667578008255,-9.360917485785352
-156,-31.313518351934544,-60.21708977607396,-94.27011524112561,-15.029224989733434,-9.358910596134109
-155,-31.93460219313397,-60.494256637456985,-94.41165423147831,-15.098401416806116,-9.3451305438954
-154,-31.631629644925255,-61.53871684582943,-94.05032240073771,-15.359082022973343,-9.326141931590906
