rel_day,dd_pct_ahr_2025,dd_pct_ahr_2021,dd_pct_ahr_2017,dd_pct_ahr_2021_scaled,dd_pct_ahr_2017_scaled
-227,8.682266621861023,68.36330599518816,-95.15844942844429,31.64606138862328,-30.091743880383184
-226,10.222360238232708,71.81481055796091,-95.04851801426905,33.243797537959125,-30.05698051486348
-225,12.261547307940933,69.97547403391671,-94.97161179809025,32.39235017585617,-30.03266063392845
-224,17.86212033487564,79.3196772191279,-94.1807589943857,36.71787573846978,-29.782571018564806
-223,20.50685040468725,84.87027757681955,-94.00062929162931,39.2873044269476,-29.725609005068875
-222,20.450598392159968,83.01616437474317,-93.87895382559847,38.42901679207962,-29.687131844266887
-221,20.279484114497137,82.25141177455318,-93.46746674801408,38.075005127775015,-29.557008204977574
-220,29.672061069478907,82.2862431661102,-94.34506824346771,38.091128928978286,-29.834530165337913
-219,16.161597839063766,69.79865448319731,-93.866081339577,32.310498628811786,-29.68306120676923
-218,11.367706095310837,74.97753033871268,-93.85635653417141,34.70785230944324,-29.679985953280877
-217,5.1683147344245395,75.7143861164008,-94.33868614033229,35.048950254251835,-29.83251196712091
-216,9.886923518208546,68.27656023965591,-94.47161393979312,31.605905906602423,-29.87454742818594
-215,9.231640220419468,54.95938448045668,-93.90727074211081,25.441251411567208,-29.69608643951607
-214,8.705648912936592,65.8917180027742,-93.41422055697329,30.501938467756617,-29.540170280935843
-213,8.434251724618292,63.84944055274055,-92.8483880797095,29.556547711479926,-29.36123834071094
-212,12.728821667706057,71.21127200890258,-92.29415618543322,32.964413478106245,-29.185974826928675
-211,21.767250771247525,71.35428670211654,-92.52317980152306,33.030616416876384,-29.25839845340986
-210,20.2065812921322,68.06012188752584,-91.46378347808972,31.50571441822059,-28.923387920724085
-209,29.802987230377553,87.1516510812032,-90.49773920774966,40.34337514967107,-28.61789789924108
-208,30.048866869891143,82.65444044599457,-89.53345810294707,38.26157115017755,-28.31296543965711
-207,21.454673913261992,81.86206497770357,-90.65203984230159,37.8947725826223,-28.666692044200417
-206,23.311318443907613,70.33942254116671,-91.69234485836661,32.56082559750331,-28.99566537540677
-205,32.82747111448921,64.15027675666971,-92.78548232332149,29.69580781364837,-29.34134579389876
-204,26.20535182801682,39.32613185029889,-92.08506145683619,18.204461656656118,-29.119853268018534
-203,26.436646737767266,35.504400063511476,-91.43195773058858,16.43534360458239,-28.913323735689982
-202,28.0112508543372,38.031261720980815,-92.00213631591515,17.605053260497236,-29.093630035958444
-201,27.237594804874533,24.367253985160573,-91.31327174083621,11.27984675786223,-28.875791930293094
-200,21.872037359963926,13.730796770236985,-90.48957482000223,6.356123817888716,-28.615316093142816
-199,20.021034604232856,10.119119770491626,-89.85039348387997,4.684242237763478,-28.413189207141215
-198,17.75170893430964,4.5224227331085,-89.49285014575045,2.093474932990083,-28.300124076070315
-197,22.909447120360227,-0.40345446036895716,-89.86391402932034,-0.1867631243762344,-28.417464779021152
-196,24.894128485331724,19.595401053710383,-88.46964721698201,9.070908079314654,-27.976558899723987
-195,18.9966358285967,22.94049639910687,-87.00099135206143,10.619386332526489,-27.512129136512623
-194,14.619803035236068,21.025568921187855,-88.41191326366098,9.732947158194397,-27.958301820641953
-193,7.598757053737293,14.364759424835881,-87.76529776884394,6.649591501955127,-27.753824047244088
-192,15.563116264201815,31.518128940487912,-87.69056152273798,14.59005864016333,-27.730190371097517
-191,7.364446698214078,30.789701826445494,-86.79141492642708,14.252862408463438,-27.44585525162448
-190,4.308382400905231,24.232333133057903,-86.81055103790221,11.217390539484686,-27.45190662140651
-189,3.96019227900426,25.67573992157708,-89.22089362755335,11.885558047964286,-28.214123873867127
-188,3.5688681140639167,7.893044794186688,-89.02215986695232,3.6537697594315683,-28.15127874072014
-187,3.158137598893318,24.361151942337923,-90.78211670205509,11.27702206091479,-28.707825958970755
-186,2.894013827948383,18.848005613237405,-91.07355204107294,8.724931218680531,-28.79998590516673
-185,4.5956495947999,21.708712547519138,-90.82340020771801,10.049181208338904,-28.720880949739882
-184,0.720377377587833,27.080172033520668,-89.84723168796891,12.535683786965981,-28.412189359483662
-183,4.982305072283144,23.291436421585153,-90.71885438675265,10.781839995839002,-28.68782065832961
-182,2.006853884816562,12.35674656349901,-90.48558232668933,5.720062168141393,-28.614053555901638
-181,3.58510300453434,14.871423682233464,-89.68221112442859,6.884131478622635,-28.360005275328465
-180,3.434670459464062,-12.361004869015368,-89.90433521091231,-5.722033380560401,-28.430247078975743
-179,0.18591359211370673,-13.241334903860313,-89.86456056512378,-6.129547000906861,-28.417669231593926
-178,-0.9443953875736266,-13.332630572699555,-89.71553341730292,-6.171808683523635,-28.370542709562674
-177,-1.7577906251767361,-24.46644012771997,-90.75236178776107,-11.32576102006243,-28.698416628895533
-176,0.18497184509207454,-25.99688841342971,-90.94273960439719,-12.034220912348689,-28.758619380549536
-175,3.3827385199665105,-35.50220533972169,-91.77361903320565,-16.43432764488337,-29.02136652615098
-174,-1.5865585885258104,-37.545623848371946,-91.33941578045821,-17.3802466086612,-28.884059401537414
-173,-1.0442461895507127,-54.538035094737204,-91.30927096235783,-25.246204546404254,-28.874526773052548
-172,-2.0294936528608365,-44.90406874106686,-91.56639474112896,-20.786544701024013,-28.955836451203147
-171,-11.894434441549873,-53.60843689952646,-91.93560214392558,-24.81588419948506,-29.0725900833864
-170,-17.441628212211757,-53.50034680626078,-92.35331949850433,-24.76584820901923,-29.204683909251305
-169,-25.913891049670646,-60.48009315139235,-92.01986841804225,-27.996842937837638,-29.09923741900088
-168,-25.013548232757554,-50.88940016031598,-91.68144410460056,-23.557214766894518,-28.992218254395432
-167,-25.80397503935584,-52.18312643360665,-91.47460862657621,-24.15609366060269,-28.92681113324677
-166,-23.062631300378765,-50.16128849589839,-91.50720911729103,-23.220164559996192,-28.937120313596566
-165,-7.983482352325211,-52.471887558662345,-91.57043504058437,-24.289764087407438,-28.957114106073973
-164,-23.50055599372848,-59.40935579675517,-92.19166303190654,-27.50118785558744,-29.15356364595691
-163,-21.65817322508332,-62.02659349114239,-91.92650253404797,-28.71273348726047,-29.06971253408318
-162,-15.693966824769257,-59.901444412419465,-92.27849978747162,-27.728980621213065,-29.181023839177403
-161,-17.176455344928033,-56.377218615588596,-93.15497684880765,-26.09758108179159,-29.4581902222487
-160,-23.22133213544585,-57.98049294419645,-93.4988899381433,-26.839752881228836,-29.56694509019326
-159,-24.477182312038202,-56.13912933898912,-93.1499337236867,-25.98736716288354,-29.45659544605796
-158,-34.06204317640428,-52.497711767085086,-93.43218612342878,-24.30171837301668,-29.545851491881287
-157,-37.55466583788431,-58.26448441223733,-94.1753282570491,-26.971215385866916,-29.78085366862903
-156,-30.629853887608483,-61.4307129051603,-95.37908381326564,-28.436894375477234,-30.16151459900174
-155,-29.333540731280028,-60.97129365842666,-95.67334924724085,-28.22422458905305,-30.254569499803697
-154,-33.89089022588352,-65.86226389642547,-94.25593168587757,-30.488303865917374,-29.806342710860754
-153,-29.246452292442992,-66.35403245419373,-93.82499383733061,-30.715948473526375,-29.670068197722646
-152,-28.824769200434165,-58.07929736867031,-94.14070665615552,-26.885490442291015,-29.769905357122525
-151,-31.941235338943308,-59.808933225692165,-90.90286330824459,-27.686156263150092,-28.746009388500173
-150,-29.639235710603206,-58.588561527113484,-92.01208132144691,-27.121233939281236,-29.09677492284078
-149,-32.07340684755984,-62.61632499230415,-91.21539864229089,-28.985726125882767,-28.84484173898696
-148,-25.29824852037802,-55.20632333334772,-91.73197019305385,-25.555561888277857,-29.008196006472588
-147,-30.087036148057635,-52.17700337753851,-91.63885896926337,-24.15325923641273,-28.978751652182225
-146,-30.474608022948324,-53.04792699894713,-92.74504449764608,-24.55641853344613,-29.328558230622846
-145,-31.027543204641795,-57.44192037313696,-93.01238191020337,-26.590442225492307,-29.413097743368564
-144,-27.509066308781282,-58.18623266175842,-92.27076417292648,-26.934991864149033,-29.17857762307103
-143,-25.29963152544301,-63.12737278670808,-91.58274162722239,-29.22229528588456,-28.961005790473806
-142,-25.64272657688198,-63.88606263027749,-92.12914153775297,-29.57350043921949,-29.13379261353269
-141,-26.84410226929408,-63.8858004486282,-91.96935370836907,-29.573379072699137,-29.08326326520994
-140,-26.599525179142837,-71.67622763612454,-91.40005475885303,-33.179646110698464,-28.903235130208753
-139,-31.494352864892928,-70.17434224928965,-92.30258913572558,-32.48440827135526,-29.18864155996056
-138,-34.497983773462884,-68.12594456523222,-92.46087805920573,-31.5361843972413,-29.238696912617893
-137,-35.09273878054861,-66.39278232738926,-91.9738022136885,-30.733886179260406,-29.084670006109217
-136,-34.930381253396256,-72.17815229499345,-91.51579174718337,-33.411992079574624,-28.93983437947397
-135,-30.906462856184934,-71.06383151588322,-89.36483543821663,-32.896161792127394,-28.259642271089596
-134,-35.37308897883214,-66.76519263511105,-89.74092687013115,-30.906278653386064,-28.378572824421997
-133,-34.584952195444316,-67.30029465180283,-88.80605840919642,-31.1539827546271,-28.08294145950101
-132,-33.594525656737375,-64.69278420876266,-88.56851811176935,-29.946939965360393,-28.00782462190667
-131,-34.30404306451218,-66.53482306370589,-89.17777247866995,-30.79963826359462,-28.20048776928765
-130,-42.4791626961728,-69.4391686273792,-89.06111398970823,-32.144089013361615,-28.163597115936387
-129,-41.129033470727215,-69.00874374094866,-87.30470442041923,-31.944841007711762,-27.60817164162953
-128,-45.529627133946896,-67.64129849279735,-85.79045403861129,-31.311836859673285,-27.12932362620026
-127,-36.31839836089298,-66.60298138259493,-84.54074949325086,-30.831189434391714,-26.734132349639843
-126,-40.89860029619646,-69.59083529831692,-82.66068556004376,-32.214297039571484,-26.139603932072934
-125,-35.307684994525005,-68.77968937209758,-83.81454039373133,-31.838809438400236,-26.504484868437686
-124,-32.52813862572278,-69.48248235279331,-82.53402446423851,-32.16413937215383,-26.099550176705193
-123,-35.168050642917756,-71.39053035197675,-83.17177178484549,-33.04739396664124,-26.301223587183962
-122,-34.002856160277,-69.81149398871625,-84.73631803289915,-32.31644216495208,-26.795976552036
-121,-35.48785518711283,-70.43723461645301,-84.4962763091861,-32.60610379015357,-26.72006869399539
-120,-35.08034466323472,-69.20741830142732,-85.35079388231361,-32.036809458414076,-26.99029087716763
-119,-33.880033165823065,-71.28766241585845,-86.1248410115513,-32.99977536520102,-27.23506607163821
-118,-34.736182058009746,-72.0548823037588,-85.61475309064538,-33.354929161782714,-27.07376210793796
-117,-33.95761297355183,-71.94317296718198,-85.39899588312888,-33.303217787215175,-27.005533688202984
-116,-33.97096966710025,-73.66275714937052,-84.13280335639901,-34.09923058677572,-26.605128454127982
